,Folder Name,Start Time,End Time,Classification,Classes,Duration,Peak Acc x,Mean Acc x,Peak Acc y,Mean Acc y,Peak Acc z,Mean Acc z,Peak Gyro x,Mean Gyro x,Peak Gyro y,Mean Gyro y,Peak Gyro z,Mean Gyro z,Peak Mag,Mean Mag,Peak Gyro Mag,Mean Gyro Mag,Peak Speed,Mean Speed,Mag Speed,Peak Acceleration (m/s2),N Mag Peaks,N Gyro Mag Peaks,Age,Height
29,13/10/2020,00:25:23,00:25:25,0,,1.8,1.649196,-0.025048879,6.516264,0.789844088,3.150528,0.529706571,348.11,4.173461538,282.52,-9.020384615,109.69,3.444615385,6.593206082,1.798744082,425.7983773,148.2887275,1.49166786,1.49166786,1.46666784,1.989520653,3,7,31,186
30,13/10/2020,00:25:25,00:25:27,0,,2,1.956636,0.00813618,5.408748,0.7339581,3.787368,0.54582678,386.19,7.66465,390.25,-7.36085,152.39,3.1059,6.708571219,1.75169535,454.3878151,151.2058978,1.33611218,1.33611218,0.5694449,1.14767081,3,7,31,186
31,13/10/2020,00:25:27,00:25:29,1,5,1.8,11.88768,0.443476421,2.896524,-0.080577789,5.381664,0.419767326,312.76,4.213631579,859.39,-3.350789474,968.8,38.12236842,13.52896666,1.878017058,1019.233853,235.2255349,4.68889264,4.68889264,4.43333688,2.38167632,3,6,31,186
32,13/10/2020,00:25:31,00:25:32,1,7,1.3,2.73402,-0.307553029,5.711064,-0.100972941,6.337656,0.657578206,550.76,-2.2575,195.37,-31.88911765,310.94,-59.97455882,13.17631907,1.976030906,1322.898607,195.3844582,3.77222524,3.77222524,2.63333544,2.710087691,2,2,31,186
33,13/10/2020,00:26:24,00:26:24,0,,0.3,0.934032,-0.096315789,3.746376,0.521742632,1.66896,0.729399474,225.61,-33.215,274.33,29.715,32.27,-49.75526316,4.122591312,1.413895612,323.8206809,166.1451783,1.03611194,1.03611194,0.73055614,0.489344549,1,1,31,186
34,13/10/2020,00:26:47,00:26:48,0,,0.7,0.577548,-0.176412,5.454132,0.701285676,3.212016,0.460408216,301.63,2.474594595,360.29,-18.34662162,57.68,-20.30945946,6.254078802,1.664240988,401.0682727,138.4658041,1.43889004,1.43889004,0.5000004,1.250162413,1,1,31,186
35,13/10/2020,00:26:50,00:26:50,0,,0.7,1.168272,0.012111273,7.665504,0.974786338,4.345152,0.57792826,383.6,-3.469090909,157.15,-4.143636364,130.83,-18.03090909,8.326854988,1.98334242,390.2925878,150.4225335,1.08888976,1.08888976,0.69722278,1.504148913,1,3,31,186
36,13/10/2020,00:26:52,00:26:54,0,,2,2.693028,-0.296721429,9.013848,0.08192051,5.649576,0.566709918,425.04,19.00035714,787.5,-0.399285714,291.83,-27.81571429,14.37702906,1.762042136,1412.952858,189.4814306,4.51667028,4.51667028,4.51667028,2.381631066,2,4,31,186
37,13/10/2020,00:26:55,00:26:56,0,,1.5,2.372412,-0.151086701,2.29116,0.194488597,3.072936,0.859244416,184.59,-13.77954545,237.02,12.51818182,251.44,21.59636364,4.194793557,1.413347028,368.9138536,134.0172887,3.69166962,3.69166962,2.47500198,2.129162779,1,2,31,186
38,13/10/2020,00:26:56,00:26:57,0,,1.2,11.33868,0.394366464,3.288144,-0.306368352,4.185576,0.520586688,206.01,1.67608,463.89,40.42416,430.5,70.01288,12.01121288,1.746084947,649.8605997,144.3623832,3.52222504,3.52222504,3.3472249,2.129162779,1,2,31,186
39,25/01/2021,00:46:26,00:46:28,0,,1.7,1.29564,-0.154194136,4.473252,0.025495227,2.53638,0.80972925,369.46,37.61903409,114.1,-17.43596591,185.08,16.01965909,5.133904009,1.331441535,372.006035,149.0579875,3.16111364,3.16111364,1.2777788,1.578738177,2,1,19,191
40,25/01/2021,00:46:27,00:46:28,1,13,1,0.430416,-0.112652748,1.678476,-1.022385084,5.869176,0.718037271,369.46,12.19439252,59.01,-6.917570093,19.6,-17.71,6.110077445,1.537548269,372.006035,167.6118321,2.20555732,2.20555732,1.2777788,0.919318815,2,3,19,191
41,25/01/2021,00:46:37,00:46:39,1,13,2,1.357128,-0.29324286,3.683424,0.03807132,2.472696,0.74500764,299.88,42.756,108.85,9.3562,173.88,13.82675,4.133782621,1.296470222,306.9397832,125.4462366,3.10555804,3.10555804,1.13333424,2.062829047,1,1,19,191
42,25/01/2021,00:46:38,00:46:39,0,,1.2,4.602084,-0.249546537,2.122068,-0.791381268,6.01704,0.758143707,299.88,19.97902439,181.65,22.55422764,116.34,-0.476341463,6.912196621,1.605998508,306.9397832,135.3903332,2.28333516,2.28333516,1.13333424,0.975373755,1,3,19,191
43,25/01/2021,00:46:54,00:46:55,1,13,1.9,1.89588,0.067112842,7.007436,0.159822568,2.43024,0.905761389,308.28,47.34947368,133.91,-3.664684211,184.87,-17.95389474,7.284159512,1.406572002,312.2364967,136.3945638,3.11944694,3.11944694,0.77222284,1.761357686,1,4,19,191
44,25/01/2021,00:46:55,00:46:56,0,,1,0.810324,-0.060669882,2.499048,-0.943605412,6.000936,0.719828706,303.1,7.102254902,24.71,-8.046568627,76.3,-17.08205882,6.459814855,1.53591127,304.6269391,143.7296927,2.34166854,2.34166854,1.00833414,0.914377421,1,2,19,191
45,25/01/2021,00:47:11,00:47:13,1,13,1.6,1.597224,-0.134890376,3.775656,-0.358568047,2.692296,0.780570353,270.2,47.08158824,82.18,-13.10852941,174.02,-5.214176471,4.618454327,1.379906542,323.8030897,141.7578021,3.06666912,3.06666912,1.77222364,0.942814261,2,3,19,191
46,25/01/2021,00:47:28,00:47:30,1,13,1.9,1.9398,0.190704673,5.368488,0.291713204,2.516616,0.965687265,186.2,12.26785714,232.05,19.07714286,172.41,-34.61035714,5.592586925,1.293841036,408.0123825,124.4101252,3.15555808,3.15555808,1.14722314,2.370967061,1,4,19,191
47,25/01/2021,00:47:30,00:47:31,0,,1.1,1.9398,-0.543640714,1.794132,-0.147426107,4.342224,0.7998015,451.64,-8.166875,599.9,-14.34375,208.25,2.303125,8.828657311,1.634117772,757.5756039,185.3597157,3.38611382,3.38611382,2.90833566,1.237714981,2,4,19,191
48,25/01/2021,00:47:49,00:47:51,1,13,1.8,2.154276,0.067245081,5.10204,0.223093816,2.310192,0.935412908,292.25,46.39713514,253.26,8.282324324,149.94,-27.31097297,5.185964801,1.388560337,414.8102665,136.2507931,3.16389142,3.16389142,1.25555656,2.272600096,2,3,19,191
49,25/01/2021,00:47:50,00:47:51,0,,1,2.222352,-0.183418286,2.916288,-0.697149829,6.498696,0.981849029,331.38,-2.146666667,239.19,-9.564666667,167.86,-15.684,7.738137739,1.564174739,441.7631674,137.2605399,2.2638907,2.2638907,1.88055706,0.657462754,2,1,19,191
50,25/01/2021,00:48:46,00:48:47,0,,1.3,2.240652,0.133622776,4.727256,0.816862836,2.692296,0.624516179,200.76,-11.48574627,158.27,-65.975,188.72,46.20313433,5.09484305,1.440574679,347.6133256,150.0346935,2.66389102,2.66389102,2.50555756,2.459635423,1,5,19,191
51,25/01/2021,00:48:47,00:48:48,0,,1.7,1.45668,-0.075412636,5.425584,0.9397965,2.40096,0.56496675,174.09,-11.77073864,99.05,-99.071875,191.38,66.79789773,5.796651799,1.256727408,347.6133256,141.6956134,2.5833354,2.5833354,2.50555756,1.046778475,1,4,19,191
52,25/01/2021,00:49:51,00:49:52,1,13,1.2,9.521856,0.649162,3.604368,0.185846667,4.89342,0.38722219,209.79,-14.70888889,411.11,53.59111111,224.7,41.81111111,10.11671436,1.711517997,416.9335684,142.3336446,2.67500214,2.67500214,2.07777944,2.004656107,2,2,19,191
53,25/01/2021,00:50:08,00:50:10,1,13,1.7,2.297748,0.031504626,3.058296,0.443796469,2.680584,0.902245207,108.29,4.241061453,176.26,-21.66050279,281.89,33.59726257,4.089898341,1.312298301,330.5682315,114.2360158,3.67500294,3.67500294,0.4583337,2.928649397,1,2,19,191
54,25/01/2021,00:50:10,00:50:11,0,,1.1,1.619184,-0.18098069,4.350276,-0.753474103,9.132432,0.866688,258.51,48.53594828,161.77,21.43448276,187.32,34.24206897,10.37698384,1.729953296,306.9193805,159.7877823,2.91111344,2.91111344,1.91111264,2.18610706,1,4,19,191
55,25/01/2021,00:50:30,00:50:31,0,,1.8,2.288232,-0.066142873,4.594032,0.434953591,3.122712,0.88556632,168.7,7.160497238,121.73,-17.18596685,305.27,29.96425414,5.186822509,1.320571979,337.4884397,122.1525642,3.69722518,3.69722518,0.49722262,2.49467807,2,3,19,191
56,25/01/2021,00:50:31,00:50:33,1,5,2,9.323484,0.27329952,2.911896,-0.47054424,3.214212,0.48647256,383.88,-15.5141,821.1,33.39735,622.65,68.96295,9.88034885,1.540454484,926.8053452,183.3648392,3.56111396,3.56111396,3.15833586,4.375630682,1,2,19,191
57,25/01/2021,00:50:48,00:50:50,1,13,1.5,1.69824,-0.177106937,4.105056,-0.345031443,7.896084,0.721682506,271.04,69.39082278,172.9,0.267594937,227.01,37.37734177,8.526601509,1.461654597,321.8097264,130.0450368,2.77222444,2.77222444,2.77222444,1.206768309,2,4,19,191
